client_code,region,delegation,routing_code,home_commercial,jour_semaine,day_of_month,week_of_month,days_to_month_end,is_month_start,is_month_end,potentiel,nbr_visites_hist,nbr_visites_jour,days_since_last_order,vente_last,qte_last,docs_last,line_items_last,product_refs_last,vente_avg_3,qte_avg_3,docs_avg_3,line_items_avg_3,product_refs_avg_3,ca_last_7d,ca_last_30d,ca_last_60d,ca_last_90d,qte_last_7d,qte_last_30d,qte_last_60d,qte_last_90d,docs_last_30d,docs_last_90d,line_items_last_30d,line_items_last_90d,product_refs_last_30d,product_refs_last_90d,orders_last_7d,orders_last_30d,orders_last_60d,orders_last_90d,avg_ca_per_order_90d,avg_qte_per_order_90d,avg_docs_per_order_90d,avg_line_items_per_order_90d,avg_product_refs_per_order_90d,weekday_purchase_rate,days_since_last_same_weekday_order,days_between_last_orders,avg_days_between_orders_5,order_gap_ratio,recent_ca_trend,recent_qte_trend,avg_price_hist,month,date
cl202,SE,Ariana_Ville,1,Inconnu,4,9,2,22,0,0,0.0,8.0,3,217.0,265.204,4.0,1.0,1.0,1.0,62.478333333333346,8.0,1.6666666666666667,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.375,999.0,16.0,3.6,60.27777777777778,0.0,0.0,35.22119402985075,7,2026-07-09
00840,GT,,1,1,4,9,2,22,0,0,0.0,11.0,0,11.0,309.347,171.0,2.0,8.0,8.0,68.98033333333335,32.333333333333336,1.0,1.6666666666666667,1.6666666666666667,0.0,416.282,416.282,454.43499999999995,0.0,196.0,196.0,220.0,3.0,4.0,10.0,11.0,10.0,11.0,0.0,2.0,2.0,3.0,151.47833333333332,73.33333333333333,1.3333333333333333,3.6666666666666665,3.6666666666666665,0.0,428.0,16.0,39.2,0.28061224489795916,0.9160429984486231,0.8909090909090909,3.2149230769230766,7,2026-07-09
06019,SE,Inconnue,Inconnue,1300,4,9,2,22,0,0,1.0,7.0,1,193.0,175.512,3.0,1.0,3.0,3.0,316.6566666666667,9.666666666666666,1.0,2.3333333333333335,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.14285714285714285,999.0,8.0,67.2,2.8720238095238093,0.0,0.0,27.02627083333333,7,2026-07-09
06824,GT,LEBARDO,18,VL1900,4,9,2,22,0,0,1.0,5.0,0,206.0,92.812,1.0,1.0,1.0,1.0,26.051333333333332,4.666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,218.0,12.0,99.66666666666667,2.0668896321070234,0.0,0.0,12.879000000000001,7,2026-07-09
05489,,,1,1,4,9,2,22,0,0,0.0,15.0,0,8.0,401.465,4.0,1.0,3.0,3.0,311.65766666666667,14.666666666666666,1.0,4.0,4.0,0.0,401.465,1006.405,1006.405,0.0,4.0,40.0,40.0,1.0,3.0,3.0,12.0,3.0,12.0,0.0,1.0,3.0,3.0,335.4683333333333,13.333333333333334,1.0,4.0,4.0,0.0,8.0,28.0,16.8,0.47619047619047616,0.39890998156805657,0.1,16.665976821192054,7,2026-07-09
00943,GT,HAMMAMLIF,1,1,4,9,2,22,0,0,0.0,10.0,0,8.0,72.634,1.0,1.0,1.0,1.0,72.07033333333332,9.666666666666666,1.0,1.3333333333333333,1.3333333333333333,0.0,72.634,72.634,129.26999999999998,0.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,64.63499999999999,2.0,1.0,1.0,1.0,0.0,8.0,63.0,63.4,0.12618296529968454,0.5618782393440087,0.25,3.2326940298507467,7,2026-07-09
03738,GT,Inconnue,2,2,4,9,2,22,0,0,0.0,1.0,0,115.0,153.29,4.0,1.0,1.0,1.0,57.097,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,30.0,30.0,1.0,0.0,0.0,38.3225,7,2026-07-09
06914,GT,ETTAHRIR,Inconnue,1300,4,9,2,22,0,0,1.0,1.0,0,488.0,323.268,7.0,1.0,7.0,7.0,57.097,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,30.0,30.0,1.0,0.0,0.0,46.18114285714285,7,2026-07-09
06256,CENTRE,RADES,1,1,4,9,2,22,0,0,0.0,1.0,0,263.0,58.945,26.0,1.0,3.0,3.0,57.097,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,30.0,30.0,1.0,0.0,0.0,2.2671153846153844,7,2026-07-09
00094,SE,Inconnue,2,2,4,9,2,22,0,0,0.0,3.0,1,95.0,85.813,25.0,1.0,2.0,2.0,150.0965,24.5,1.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.3333333333333333,999.0,77.0,3.0,31.666666666666668,0.0,0.0,5.216297297297297,7,2026-07-09
